gamma,crater_fraction,rms_slope_deg,chi2
0.0,0.0,0.0,59523567.591022305
0.0,0.01,4.900304787764432,59048021.008021556
0.0,0.02,6.930077490618269,58574383.176207334
0.0,0.03,8.487576864981019,58102654.09585085
0.0,0.04,9.800609575528863,57632833.767225936
0.0,0.05,10.957414615908949,57164922.19060915
0.0,0.06,12.003246314140272,56698919.366279654
0.0,0.07,12.964987816843836,56234825.294519395
0.0,0.08,13.860154981236539,55772639.975613035
0.0,0.09,14.700914363293293,55312363.40984802
0.0,0.1,15.496124358363613,54853995.5975146
0.0,0.11,16.252472339396768,54397536.538905874
0.0,0.12,16.975153729962038,53942986.23431777
0.0,0.13,17.66830017768634,53490344.684049174
0.0,0.14,18.335261606582495,53039611.88840185
0.0,0.15,18.978798834352112,52590787.84768052
0.0,0.16,19.601219151057727,52143872.56219289
0.0,0.17,20.204474237672684,51698866.03224974
0.0,0.18,20.79023247185481,51255768.25816486
0.0,0.19,21.359933362413685,50814579.240255125
0.0,0.2,21.914829231817897,50375298.97884054
0.0,0.21,22.456017618285017,49937927.47424425
0.0,0.22,22.984466804468497,49502464.72679262
0.0,0.23,23.501036175000905,49068910.736815184
0.0,0.24,24.006492628280544,48637265.50464478
0.0,0.25,24.501523938822157,48207529.0306175
0.0,0.26,24.986749735362988,47779701.31507278
0.0,0.27,25.46273059494306,47353782.35835343
0.0,0.28,25.929975633687672,46929772.16080561
0.0,0.29,26.38894888730173,46507670.722778976
0.0,0.3,26.840074709091443,46087478.04462661
0.0,0.31,27.283742364320137,45669194.12670512
0.0,0.32,27.720309962473078,45252818.969374664
0.0,0.33,28.150107840443013,44838352.57299898
0.0,0.34,28.57344148753451,44425794.93794544
0.0,0.35,28.990594085919405,44015146.064585075
0.0,0.36,29.401828726586587,43606405.95329261
0.0,0.37,29.80739035005445,43199574.60444652
0.0,0.38,30.207507452510978,42794652.0184291
0.0,0.39,30.602393591130962,42391638.19562642
0.0,0.4,30.992248716727225,41990533.13642845
0.0,0.41,31.377260357342664,41591336.84122909
0.0,0.42,31.75760467266784,41194049.31042613
0.0,0.43,32.13344739610802,40798670.54442143
0.0,0.44,32.504944678793535,40405200.54362084
0.0,0.45,32.87224384772684,40013639.308434345
0.0,0.46,33.23548408850701,39623986.83927604
0.0,0.47,33.59479706160449,39236243.13656417
0.0,0.48,33.950307459924076,38850408.20072126
0.0,0.49,34.30213351435102,38466482.03217406
0.0,0.5,34.650387453091355,38084464.63135366
0.0,0.51,34.995175919865545,37704355.99869554
0.0,0.52,35.33660035537268,37326156.13463954
0.0,0.53,35.67475734589251,36949865.03963002
0.0,0.54,36.00973894242082,36575482.71411582
0.0,0.55,36.34163295332621,36203009.15855035
0.0,0.56,36.67052321316499,35832444.37339169
0.0,0.57,36.996489829986025,35463788.359102495
0.0,0.58,37.3196094131925,35097041.11615021
0.0,0.59,37.639955283796944,34732202.64500704
0.0,0.6,37.957597668704224,34369272.94615
0.0,0.61,38.27260388048098,34008252.02006101
0.0,0.62,38.58503848391491,33649139.86722692
0.0,0.63,38.894963450531506,33291936.488139577
0.0,0.64,39.20243830211545,32936641.883295875
0.0,0.65,39.50752024417827,32583256.053197805
0.0,0.66,39.810264290219706,32231778.998352543
0.0,0.67,40.11072337754743,31882210.719272476
0.0,0.68,40.40894847534537,31534551.216475293
0.0,0.69,40.70498868561572,31188800.490484003
0.0,0.7,40.998891337560465,30844958.54182703
0.0,0.71,41.290702075916286,30503025.371038277
0.0,0.72,41.58046494370962,30163000.978657164
0.0,0.73,41.86822245985673,29824885.365228705
0.0,0.74,42.15401569199592,29488678.53130359
0.0,0.75,42.43788432490509,29154380.47743819
0.0,0.76,42.71986672482737,28821991.204194717
